species,Lon,Lat
Huperzia_tibetica,90.85,28.3
Huperzia_javanica,91.14,29.65
Huperzia_selago,93.3,28.7
Huperzia_tibetica,93.93,29.05
Huperzia_tibetica,93.95,29.02
Huperzia_tibetica,93.98,29
Huperzia_herteriana,94.58,29.33
Huperzia_selago,94.5833,29.3333
Huperzia_selago,94.583333,29.333333
Huperzia_delavayi,94.70871,29.63019
Huperzia_javanica,94.88,29.93
Huperzia_javanica,94.88,29.93
Huperzia_delavayi,94.97888,29.4749
Huperzia_delavayi,94.99206,29.46938685
Huperzia_javanica,95.26,29.22
Huperzia_javanica,95.33,29.32
Huperzia_javanica,95.33,29.32
Huperzia_selago,95.76,29.85
Huperzia_selago,96.91,30.05
Huperzia_javanica,97.46,28.66
Huperzia_javanica,98.294167,27.689722
Huperzia_javanica,98.294167,27.689722
Huperzia_rubicaulis,98.45,27.683333
Huperzia_rubicaulis,98.456944,27.691667
Huperzia_javanica,98.51,25.01
Huperzia_javanica,98.574867,27.763721
Huperzia_javanica,98.65,27.73
Huperzia_tibetica,98.66582,27.740736
Huperzia_javanica,98.7525,24.923889
Huperzia_javanica,98.7525,24.923889
Huperzia_javanica,98.76,24.848889
Huperzia_javanica,98.7617,24.8392
Huperzia_javanica,98.761749,24.839218
Huperzia_javanica,98.7678,24.8308
Huperzia_javanica,98.767998,24.8309
Huperzia_javanica,98.82524,23.763342
Huperzia_selago,98.9128,31.9544
Huperzia_javanica,99.02,23.92
Huperzia_javanica,99.55,22.32
Huperzia_selago,100.2221,25.5842
Huperzia_selago,100.222124,25.584234
Huperzia_javanica,100.82,24.42
Huperzia_javanica,101.487417,24.976725
Huperzia_javanica,101.487417,24.976725
Huperzia_javanica,102.01,23.59
Huperzia_chinensis,102.063825,31.476274
Huperzia_herteriana,102.206261,31.905842
Huperzia_emeiensis,102.234618,29.914155
Huperzia_herteriana,102.234618,29.914155
Huperzia_javanica,102.239789,24.271311
Huperzia_crispata,102.35,29.22
Huperzia_chinensis,102.359458,29.22787
Huperzia_crispata,102.37,29.23
Huperzia_javanica,102.38,24.16
Huperzia_javanica,102.392353,22.99417
Huperzia_javanica,102.42,23.01
Huperzia_javanica,102.43,23.35
Huperzia_herteriana,102.65,31.95
Huperzia_javanica,102.66,29.41
Huperzia_javanica,102.709729,25.045286
Huperzia_crispata,102.75,30.06
Huperzia_crispata,102.75,30.07
Huperzia_crispata,102.758313,30.066708
Huperzia_javanica,102.78,30.1
Huperzia_javanica,103.06,30.09
Huperzia_javanica,103.086573,22.792186
Huperzia_herteriana,103.132181,28.328636
Huperzia_javanica,103.160033,23.359119
Huperzia_emeiensis,103.231884,29.73797
Huperzia_javanica,103.24,22.77
Huperzia_crispata,103.27,29.23
Huperzia_emeiensis,103.332647,29.519367
Huperzia_emeiensis,103.356304,29.573827
Huperzia_javanica,103.38,29.95
Huperzia_emeiensis,103.39,29.49
Huperzia_selago,103.39,29.49
Huperzia_emeiensis,103.398589,29.496119
Huperzia_liangshanica,103.398589,29.496119
Huperzia_crispata,103.48,29.6
Huperzia_emeiensis,103.48,29.6
Huperzia_selago,103.48,29.6
Huperzia_javanica,103.494193,23.298608
Huperzia_javanica,103.51,29.62
Huperzia_javanica,103.51,30.91
Huperzia_javanica,103.517333,30.965092
Huperzia_javanica,103.53,28.87
Huperzia_crispata,103.554829,31.101627
Huperzia_crispata,103.578429,28.268951
Huperzia_herteriana,103.59895,32.637983
Huperzia_javanica,103.62,28.21
Huperzia_crispata,103.62359,31.00358
